PDB , Chain , Domains, Length, Interaction Energy, Density, Radius of Gyration
1a8y , A ,  3  , 338 ,  2.392 ,  0.035 ,  25.920
2hr7 , A ,  3  , 468 ,  1.990 ,  0.015 ,  34.386
1a45 , A ,  2  , 173 ,  1.750 ,  0.045 ,  18.599
1vq0 , A ,  2  , 290 ,  1.356 ,  0.040 ,  21.817
1cjx , A ,  2  , 352 ,  3.136 ,  0.050 ,  21.202
1ux6 , A ,  2  , 335 ,  2.753 ,  0.044 ,  21.379
1yua , A ,  2  , 122 ,  1.405 ,  0.044 ,  16.577
1olz , A ,  3  , 621 ,  3.447 ,  0.033 ,  29.035
2pv7 , A ,  2  , 270 ,  1.914 ,  0.029 ,  23.372
2fb1 , A ,  2  , 215 ,  1.877 ,  0.035 ,  21.013
1bs2 , A ,  3  , 603 ,  3.692 ,  0.032 ,  29.662
1nlt , A ,  3  , 228 ,  1.269 ,  0.010 ,  31.884
1m6b , A ,  4  , 549 ,  2.453 ,  0.014 ,  36.931
1q5v , A ,  2  , 115 ,  0.890 ,  0.022 ,  18.574
1e15 , A ,  3  , 496 ,  2.988 ,  0.043 ,  26.545
1bia , A ,  3  , 292 ,  2.427 ,  0.037 ,  26.692
1jqj , A ,  3  , 366 ,  2.462 ,  0.027 ,  28.456
1hc1 , A ,  3  , 634 ,  4.490 ,  0.046 ,  27.537
1e5u , I ,  2  , 187 ,  1.595 ,  0.030 ,  125.495
1akl , A ,  2  , 470 ,  3.021 ,  0.033 ,  27.532
1vqz , A ,  2  , 327 ,  2.592 ,  0.043 ,  21.030
3bzc , A ,  5  , 730 ,  3.237 ,  0.022 ,  36.319
1ksk , A ,  2  , 227 ,  1.149 ,  0.023 ,  23.992
1fwy , A ,  2  , 326 ,  1.983 ,  0.036 ,  29.788
1dg3 , A ,  2  , 540 ,  2.027 ,  0.013 ,  39.481
1dq3 , A ,  4  , 454 ,  3.114 ,  0.039 ,  25.202
1a79 , A ,  2  , 171 ,  1.690 ,  0.041 ,  18.255
1brw , A ,  3  , 433 ,  3.525 ,  0.049 ,  23.664
1fyb , A ,  2  , 111 ,  0.696 ,  0.010 ,  83.259
1b47 , A ,  3  , 304 ,  2.565 ,  0.039 ,  21.296
1a71 , A ,  2  , 374 ,  3.157 ,  0.052 ,  20.744
1ubd , C ,  4  , 114 ,  0.927 ,  0.016 ,  20.373
1ppr , M ,  2  , 312 ,  2.635 ,  0.038 ,  22.427
1skz , A ,  2  , 104 ,  1.237 ,  0.039 ,  15.388
1a8p , A ,  2  , 257 ,  2.376 ,  0.052 ,  18.427
2oux , A ,  2  , 246 ,  2.033 ,  0.035 ,  21.502
1nyq , A ,  4  , 642 ,  3.190 ,  0.027 ,  31.528
1tg7 , A ,  5  , 971 ,  5.626 ,  0.042 ,  32.760
1clc , A ,  2  , 541 ,  4.060 ,  0.049 ,  25.894
1a6a , A ,  2  , 176 ,  1.646 ,  0.036 ,  18.518
1pg0 , A ,  2  , 492 ,  3.286 ,  0.035 ,  26.166
1x9y , A ,  2  , 346 ,  3.053 ,  0.050 ,  20.427
1lbu , A ,  2  , 214 ,  2.210 ,  0.053 ,  18.022
1ogp , A ,  2  , 388 ,  3.257 ,  0.049 ,  23.847
2fef , A ,  2  , 283 ,  2.584 ,  0.049 ,  19.337
1ca1 , A ,  2  , 370 ,  2.899 ,  0.047 ,  21.774
1cjd , A ,  2  , 369 ,  2.940 ,  0.042 ,  23.434
1ejj , A ,  2  , 508 ,  3.693 ,  0.049 ,  24.282
2auw , A ,  2  , 156 ,  1.396 ,  0.031 ,  19.767
1c4a , A ,  3  , 574 ,  3.621 ,  0.044 ,  26.186
1jrp , A ,  4  , 450 ,  3.431 ,  0.044 ,  23.463
1bpo , A ,  2  , 487 ,  2.585 ,  0.028 ,  30.233
1d2k , A ,  2  , 392 ,  3.258 ,  0.050 ,  22.550
1aof , A ,  2  , 532 ,  3.107 ,  0.048 ,  23.943
1qd1 , A ,  2  , 329 ,  2.862 ,  0.053 ,  20.061
1eut , A ,  3  , 601 ,  3.452 ,  0.036 ,  26.987
2evr , A ,  2  , 240 ,  2.141 ,  0.050 ,  18.590
1dlc , A ,  3  , 584 ,  3.904 ,  0.042 ,  26.508
1nh2 , A ,  2  , 183 ,  1.482 ,  0.028 ,  20.405
1i3q , C ,  2  , 266 ,  1.978 ,  0.025 ,  27.254
1g6l , A ,  2  , 198 ,  2.041 ,  0.047 ,  17.803
1a3x , A ,  3  , 487 ,  3.711 ,  0.044 ,  24.403
1lsl , A ,  2  , 113 ,  0.627 ,  0.005 ,  32.608
1q2l , A ,  4  , 937 ,  4.536 ,  0.028 ,  34.478
1d1d , A ,  2  , 220 ,  1.613 ,  0.031 ,  26.629
1f00 , I ,  3  , 282 ,  1.474 ,  0.013 ,  31.567
2oce , A ,  5  , 729 ,  3.224 ,  0.024 ,  33.785
1qhd , A ,  2  , 397 ,  2.364 ,  0.022 ,  28.712
1eqj , A ,  2  , 508 ,  3.695 ,  0.049 ,  24.272
1a6q , A ,  2  , 363 ,  2.987 ,  0.043 ,  22.742
1cli , A ,  2  , 341 ,  2.859 ,  0.043 ,  25.166
1j4w , A ,  2  , 145 ,  0.581 ,  0.004 ,  78.074
1aua , A ,  2  , 296 ,  2.703 ,  0.046 ,  19.774
1a65 , A ,  3  , 504 ,  4.164 ,  0.055 ,  22.116
2gli , A ,  5  , 155 ,  1.187 ,  0.019 ,  20.947
1bp1 , A ,  2  , 456 ,  2.406 ,  0.015 ,  37.321
1ctn , A ,  3  , 538 ,  2.907 ,  0.035 ,  28.942
1mla , A ,  2  , 305 ,  2.622 ,  0.055 ,  19.021
1cqx , A ,  3  , 403 ,  3.058 ,  0.042 ,  23.756
1dli , A ,  3  , 402 ,  2.898 ,  0.039 ,  23.837
1ufa , A ,  2  , 501 ,  3.939 ,  0.049 ,  23.722
1m2o , A ,  5  , 718 ,  4.607 ,  0.042 ,  27.750
3p0b , A ,  2  , 530 ,  4.161 ,  0.051 ,  23.159
1na6 , A ,  2  , 365 ,  2.894 ,  0.037 ,  23.851
1gof , A ,  3  , 639 ,  4.133 ,  0.050 ,  24.880
1cr5 , A ,  2  , 178 ,  1.931 ,  0.053 ,  16.028
1eqf , A ,  2  , 267 ,  2.248 ,  0.036 ,  21.267
1ulk , A ,  3  , 126 ,  1.220 ,  0.026 ,  18.388
1m1h , A ,  2  , 182 ,  1.500 ,  0.030 ,  20.137
1kny , A ,  2  , 253 ,  1.980 ,  0.032 ,  22.124
1g8f , A ,  3  , 510 ,  2.498 ,  0.033 ,  26.847
1e6v , B ,  2  , 436 ,  3.087 ,  0.043 ,  26.363
