PDB, Chain, CATH, Length, Interaction Energy, Min. F(k), Single/Multi, Suggested K, FINAL
1e8r, A, 1, 50 , 0.48, 0.847 , Single , 1, 
2fef, A, 2, 283 , 0.237, 0.837 , Single , 1, 
1ca1, A, 2, 370 , 0.186, 0.772 , Multi , 1, 
1cjd, A, 2, 369 , 0.209, 0.809 , Single , 3, 
1ejj, A, 2, 508 , 0.051, 0.692 , Multi , 2, 
2auw, A, 2, 156 , 0.135, 0.548 , Single , 2, 
1a28, A, 1, 251 , 0.255, 0.826 , Single , 1, 
1icf, I, 1, 65 , 0.215, 0.822 , Single , 1, 
1c4a, A, 3, 574 , 0.11, 0.750 , Multi , 1, 
1jrp, A, 4, 450 , 0.131, 0.773 , Multi , 1, 
1l9l, A, 1, 74 , 0.473, 0.862 , Single , 1, 
1trl, A, 1, 62 , 0.452, 0.840 , Single , 3, 
1bpo, A, 2, 487 , 0.094, 0.629 , Multi , 2, 
1d2k, A, 2, 392 , 0.214, 0.806 , Single , 1, 
1b9l, A, 1, 119 , 0.345, 0.614 , Single , 2, 
1b75, A, 1, 94 , 0.394, 0.843 , Single , 3, 
1aof, A, 2, 532 , 0.154, 0.877 , Multi , 1, 
1qd1, A, 2, 329 , 0.064, 0.780 , Multi , 1, 
1hjz, A, 1, 192 , 0.318, 0.889 , Single , 1, 
1eut, A, 3, 601 , 0.108, 0.714 , Multi , 2, 
1qa4, A, 1, 56 , 0.054, 0.355 , Single , 2, 
1bg8, A, 1, 76 , 0.447, 0.846 , Single , 1, 
1aw6, A, 1, 43 , 0.163, 0.673 , Single , 2, 
2evr, A, 2, 240 , 0.129, 0.730 , Multi , 2, 
1f81, A, 1, 87 , 0.356, 0.724 , Single , 4, 
1dlc, A, 3, 584 , 0.173, 0.828 , Multi , 3, 
1nh2, A, 2, 183 , 0.087, 0.470 , Multi , 2, 
1i3q, C, 2, 266 , 0.113, 0.653 , Multi , 2, 
2fdo, A, 1, 89 , 0.236, 0.762 , Single , 1, 
1a3s, A, 1, 158 , 0.253, 0.722 , Single , 2, 
1cfe, A, 1, 135 , 0.326, 0.777 , Single , 1, 
1g6l, A, 2, 198 , 0.303, 0.727 , Single , 2, 
1xdq, A, 1, 262 , 0.324, 0.926 , Single , 4, 
1e44, A, 1, 84 , 0.298, 0.753 , Single , 1, 
1a3x, A, 3, 487 , 0.29, 0.750 , Single , 1, 
1iyr, A, 1, 83 , 0.169, 0.714 , Single , 2, 
2etd, A, 1, 128 , 0.289, 0.569 , Single , 2, 
1lsl, A, 2, 113 , 0.035, 0.338 , Single , 2, 
1abt, A, 1, 74 , 0.297, 0.789 , Single , 1, 
1d1n, A, 1, 99 , 0.525, 0.891 , Single , 1, 
1x75, A, 1, 127 , 0.268, 0.737 , Single , 2, 
1ezr, A, 1, 312 , 0.314, 0.904 , Single , 1, 
1sj7, A, 1, 167 , 0.335, 0.583 , Single , 2, 
1q2l, A, 4, 937 , 0.032, 0.691 , Multi , 2, 
1qhk, A, 1, 47 , 0.553, 0.829 , Single , 1, 
1gh9, A, 1, 71 , 0.056, 0.628 , Single , 2, 
2ioj, A, 1, 117 , 0.487, 0.948 , Single , 3, 
2o35, A, 1, 80 , 0.263, 0.788 , Single , 1, 
1jya, A, 1, 115 , 0.243, 0.708 , Single , 2, 
1jju, B, 1, 339 , 0.227, 0.882 , Single , 1, 
1a0r, B, 1, 339 , 0.215, 0.870 , Single , 1, 
1d1d, A, 2, 220 , 0.064, 0.632 , Multi , 2, 
1jb0, A, 1, 740 , 0.176, 0.859 , Multi , 1, 
1jj2, 1, 1, 46 , 0.174, 0.540 , Single , 2, 
1c25, A, 1, 161 , 0.36, 0.842 , Single , 1, 
1f00, I, 3, 282 , 0.089, 0.368 , Multi , 2, 
1k19, A, 1, 112 , 0.304, 0.866 , Single , 3, 
1cq3, A, 1, 224 , 0.281, 0.827 , Single , 1, 
1aab, A, 1, 83 , 0.169, 0.660 , Single , 2, 
1b3u, A, 1, 588 , 0.065, 0.547 , Multi , 2, 
1lr0, A, 1, 123 , 0.22, 0.631 , Single , 2, 
1k8k, C, 1, 354 , 0.254, 0.893 , Single , 1, 
1bvb, A, 1, 211 , 0.242, 0.735 , Single , 2, 
1av5, A, 1, 113 , 0.354, 0.865 , Single , 1, 
1iiy, A, 1, 101 , 0.317, 0.635 , Single , 2, 
1a6y, A, 1, 77 , 0.364, 0.801 , Single , 1, 
2oce, A, 5, 729 , 0.063, 0.664 , Multi , 2, 
1qhd, A, 2, 397 , 0.106, 0.502 , Multi , 2, 
1osx, A, 1, 26 , 0.154, 0.704 , Single , 2, 
1duj, A, 1, 187 , 0.358, 0.831 , Single , 1, 
1nyo, A, 1, 163 , 0.436, 0.900 , Single , 1, 
1eqj, A, 2, 508 , 0.053, 0.692 , Multi , 2, 
1a6q, A, 2, 363 , 0.168, 0.755 , Multi , 1, 
1cli, A, 2, 341 , 0.185, 0.817 , Multi , 1, 
1j4w, A, 2, 145 , 0.0, 0.164 , Single , 2, 
1jjs, A, 1, 42 , 0.381, 0.768 , Single , 1, 
1bt1, A, 1, 336 , 0.211, 0.914 , Single , 1, 
1ekj, A, 1, 210 , 0.195, 0.827 , Multi , 3, 
1a32, A, 1, 85 , 0.035, 0.626 , Single , 3, 
1a14, H, 1, 111 , 0.405, 0.759 , Single , 1, 
1kpk, A, 1, 450 , 0.242, 0.858 , Single , 3, 
1aua, A, 2, 296 , 0.209, 0.850 , Single , 1, 
1nr3, A, 1, 122 , 0.303, 0.855 , Single , 1, 
1cl3, A, 1, 138 , 0.138, 0.670 , Single , 2, 
2g3w, A, 1, 175 , 0.149, 0.862 , Multi , 1, 
1ey1, A, 1, 139 , 0.122, 0.855 , Single , 1, 
1a65, A, 3, 504 , 0.234, 0.904 , Single , 1, 
1bvq, A, 1, 139 , 0.252, 0.625 , Single , 2, 
1a5v, A, 1, 146 , 0.247, 0.757 , Single , 1, 
2hg6, A, 1, 106 , 0.283, 0.724 , Single , 2, 
2gli, A, 5, 155 , 0.071, 0.650 , Single , 2, 
1kdx, A, 1, 81 , 0.383, 0.724 , Single , 2, 
1lkt, A, 1, 104 , 0.298, 0.854 , Single , 3, 
1wdj, A, 1, 186 , 0.231, 0.868 , Single , 1, 
1bp1, A, 2, 456 , 0.145, 0.495 , Multi , 2, 
1ctn, A, 3, 538 , 0.165, 0.695 , Multi , 2, 
1mkc, A, 1, 43 , 0.302, 0.689 , Single , 2, 
2fiy, A, 1, 285 , 0.253, 0.858 , Single , 1, 
1d1r, A, 1, 83 , 0.434, 0.838 , Single , 1, 
1mla, A, 2, 305 , 0.226, 0.842 , Single , 1, 
1hno, A, 1, 248 , 0.347, 0.866 , Single , 1, 
1cqx, A, 3, 403 , 0.146, 0.808 , Multi , 3, 
11ba, A, 1, 131 , 0.115, 0.585 , Single , 2, 
2p06, A, 1, 82 , 0.305, 0.807 , Single , 4, 
1ass, A, 1, 152 , 0.171, 0.687 , Single , 2, 
1dli, A, 3, 402 , 0.104, 0.682 , Multi , 2, 
1ufa, A, 2, 501 , 0.17, 0.854 , Multi , 1, 
1c3k, A, 1, 143 , 0.364, 0.796 , Single , 1, 
1afv, A, 1, 151 , 0.285, 0.738 , Single , 2, 
1m2o, A, 5, 718 , 0.128, 0.829 , Multi , 3, 
1az0, A, 1, 237 , 0.295, 0.803 , Single , 1, 
3p0b, A, 2, 530 , 0.175, 0.860 , Multi , 1, 
1na6, A, 2, 365 , 0.164, 0.833 , Multi , 3, 
1ijx, A, 1, 125 , 0.336, 0.879 , Single , 1, 
1gof, A, 3, 639 , 0.227, 0.786 , Single , 1, 
1cr5, A, 2, 178 , 0.118, 0.806 , Multi , 1, 
1bxi, A, 1, 83 , 0.446, 0.870 , Single , 3, 
2iay, A, 1, 120 , 0.275, 0.760 , Single , 1, 
1lpv, A, 1, 52 , 0.25, 0.818 , Single , 4, 
1csm, A, 1, 252 , 0.302, 0.810 , Single , 1, 
1a0s, P, 1, 413 , 0.182, 0.889 , Multi , 1, 
1q1l, A, 1, 331 , 0.26, 0.891 , Single , 1, 
1eqf, A, 2, 267 , 0.116, 0.792 , Multi , 1, 
1qqv, A, 1, 67 , 0.373, 0.784 , Single , 1, 
1b6f, A, 1, 159 , 0.296, 0.790 , Single , 1, 
1aca, A, 1, 86 , 0.36, 0.815 , Single , 1, 
1ulk, A, 3, 126 , 0.23, 0.578 , Single , 2, 
1mwp, A, 1, 96 , 0.375, 0.821 , Single , 1, 
1al0, 1, 1, 143 , 0.315, 0.879 , Single , 1, 
1c8d, A, 1, 548 , 0.184, 0.768 , Multi , 1, 
1e68, A, 1, 70 , 0.5, 0.895 , Single , 1, 
1o8r, A, 1, 94 , 0.362, 0.869 , Single , 1, 
1m1h, A, 2, 182 , 0.055, 0.531 , Multi , 2, 
1vqr, A, 1, 278 , 0.219, 0.839 , Single , 3, 
1kny, A, 2, 253 , 0.107, 0.622 , Multi , 2, 
1g8f, A, 3, 510 , 0.053, 0.751 , Multi , 1, 
121p, A, 1, 166 , 0.416, 0.933 , Single , 4, 
1m9o, A, 1, 40 , 0.3, 0.654 , Single , 2, 
1poi, B, 1, 260 , 0.123, 0.876 , Multi , 1, 
1j57, A, 1, 143 , 0.455, 0.829 , Single , 3, 
1e6v, B, 2, 436 , 0.151, 0.665 , Multi , 2, 
1jma, A, 1, 261 , 0.272, 0.917 , Single , 1, 
1sj8, A, 2, 297 , 0.31, 0.663 , Single , 2, 
2gr7, A, 1, 101 , 0.109, 0.509 , Single , 2, 
1ecm, A, 1, 91 , 0.341, 0.688 , Single , 2, 
1dgp, A, 1, 290 , 0.183, 0.843 , Multi , 1, 
1c44, A, 1, 123 , 0.398, 0.872 , Single , 1, 
1olg, A, 1, 42 , 0.286, 0.598 , Single , 2, 
1xrs, A, 1, 516 , 0.264, 0.794 , Single , 1, 
1g3p, A, 2, 198 , 0.106, 0.705 , Multi , 2, 
1eo0, A, 1, 77 , 0.519, 0.793 , Single , 1, 
1a05, A, 1, 357 , 0.146, 0.880 , Multi , 1, 
1su4, A, 4, 994 , 0.062, 0.634 , Multi , 2, 
1x6m, A, 1, 196 , 0.219, 0.840 , Single , 3, 
2qw6, A, 1, 85 , 0.482, 0.857 , Single , 3, 
1mms, A, 2, 133 , 0.06, 0.565 , Single , 2, 
1a7t, A, 1, 227 , 0.304, 0.891 , Single , 1, 
1ghh, A, 1, 81 , 0.432, 0.790 , Single , 1, 
2hqv, A, 1, 167 , 0.216, 0.807 , Single , 1, 
1apj, A, 1, 74 , 0.311, 0.884 , Single , 1, 
1ewf, A, 2, 474 , 0.152, 0.497 , Multi , 2, 
1k6k, A, 1, 142 , 0.373, 0.804 , Single , 1, 
1adn, A, 1, 92 , 0.087, 0.670 , Single , 2, 
1m9s, A, 5, 523 , 0.0, 0.200 , Multi , 2, 
1jfm, A, 1, 174 , 0.339, 0.774 , Single , 1, 
1beg, A, 1, 98 , 0.337, 0.815 , Single , 1, 
1an8, A, 2, 206 , 0.214, 0.767 , Single , 1, 
1bmf, A, 3, 487 , 0.181, 0.674 , Multi , 2, 
1i4s, A, 1, 147 , 0.238, 0.737 , Single , 2, 
2bcg, G, 3, 442 , 0.172, 0.826 , Multi , 1, 
1hn6, A, 1, 110 , 0.027, 0.439 , Single , 2, 
1bs4, A, 1, 168 , 0.244, 0.861 , Single , 1, 
1agq, A, 1, 91 , 0.22, 0.477 , Single , 2, 
1vf5, A, 1, 202 , 0.228, 0.688 , Single , 2, 
1dzf, A, 2, 211 , 0.137, 0.748 , Multi , 2, 
3h0n, A, 1, 192 , 0.323, 0.804 , Single , 1, 
1rkc, A, 2, 258 , 0.12, 0.489 , Multi , 2, 
1jtk, A, 1, 131 , 0.443, 0.868 , Single , 4, 
1vcc, A, 1, 77 , 0.364, 0.794 , Single , 3, 
1b37, A, 2, 459 , 0.187, 0.783 , Multi , 1, 
1jvs, A, 3, 382 , 0.175, 0.859 , Multi , 1, 
1tba, A, 1, 67 , 0.493, 0.675 , Single , 2, 
1ki0, A, 3, 253 , 0.016, 0.663 , Multi , 3, 
1wvk, A, 1, 86 , 0.035, 0.370 , Single , 2, 
1jrm, A, 1, 104 , 0.452, 0.866 , Single , 4, 
1a4y, A, 1, 460 , 0.139, 0.704 , Multi , 2, 
1p4p, A, 1, 140 , 0.25, 0.735 , Single , 2, 
1u77, A, 1, 374 , 0.372, 0.883 , Single , 1, 
1b2i, A, 1, 83 , 0.398, 0.847 , Single , 1, 
1bpr, A, 1, 173 , 0.335, 0.815 , Single , 1, 
1tk1, A, 1, 221 , 0.276, 0.718 , Single , 2, 
1eww, A, 1, 90 , 0.467, 0.804 , Single , 1, 
1a39, A, 1, 401 , 0.277, 0.855 , Single , 1, 
1f08, A, 1, 148 , 0.331, 0.932 , Single , 3, 
1a1x, A, 1, 106 , 0.406, 0.890 , Single , 3, 
1xc6, A, 5, 971 , 0.145, 0.700 , Multi , 2, 
1bh5, A, 1, 177 , 0.09, 0.863 , Multi , 3, 
1bx7, A, 1, 51 , 0.196, 0.520 , Single , 2, 
1aa1, C, 1, 123 , 0.293, 0.839 , Single , 1, 
1co4, A, 1, 42 , 0.071, 0.696 , Single , 2, 
1pbj, A, 1, 121 , 0.083, 0.706 , Single , 2, 
1dkg, A, 2, 158 , 0.063, 0.371 , Single , 2, 
1nig, A, 1, 150 , 0.347, 0.707 , Single , 2, 
1bam, A, 1, 200 , 0.315, 0.765 , Single , 1, 
1miu, A, 5, 671 , 0.06, 0.602 , Multi , 3, 
1jv2, A, 4, 927 , 0.032, 0.588 , Multi , 3, 
1eq6, A, 1, 189 , 0.354, 0.879 , Single , 1, 
1d0q, A, 1, 102 , 0.186, 0.631 , Single , 2, 
1f0i, A, 2, 504 , 0.226, 0.848 , Single , 1, 
1aq3, A, 1, 129 , 0.302, 0.832 , Single , 1, 
1auz, A, 1, 116 , 0.431, 0.854 , Single , 1, 
1jk4, A, 1, 79 , 0.316, 0.830 , Single , 1, 
1aiq, A, 1, 263 , 0.285, 0.888 , Single , 1, 
1te7, A, 1, 103 , 0.204, 0.864 , Single , 1, 
1bwd, A, 1, 348 , 0.339, 0.935 , Single , 1, 
1c3p, A, 1, 372 , 0.277, 0.887 , Single , 3, 
2b1y, A, 1, 102 , 0.059, 0.611 , Single , 2, 
1xi8, A, 3, 269 , 0.093, 0.757 , Multi , 1, 
1b4b, A, 1, 71 , 0.479, 0.809 , Single , 1, 
1cby, A, 1, 227 , 0.278, 0.835 , Single , 1, 
1n0z, A, 1, 45 , 0.222, 0.778 , Single , 1, 
1u89, A, 1, 139 , 0.324, 0.561 , Single , 2, 
1qr0, A, 2, 228 , 0.167, 0.773 , Multi , 1, 
2jlh, A, 1, 117 , 0.436, 0.881 , Single , 3, 
1cc1, L, 1, 487 , 0.31, 0.874 , Single , 1, 
2hfq, A, 1, 85 , 0.376, 0.769 , Single , 1, 
1qys, A, 1, 91 , 0.495, 0.796 , Single , 1, 
1ekg, A, 1, 119 , 0.42, 0.772 , Single , 1, 
1div, A, 2, 149 , 0.067, 0.355 , Single , 2, 
2qfi, A, 2, 286 , 0.217, 0.552 , Single , 2, 
1hf2, A, 2, 196 , 0.117, 0.647 , Multi , 2, 
1cqu, A, 1, 56 , 0.107, 0.649 , Single , 2, 
1h0z, A, 1, 68 , 0.279, 0.688 , Single , 2, 
1a68, A, 1, 87 , 0.184, 0.832 , Single , 1, 
1h3l, A, 1, 75 , 0.36, 0.661 , Single , 2, 
1p42, A, 2, 273 , 0.37, 0.903 , Single , 1, 
1tlj, A, 1, 189 , 0.127, 0.572 , Multi , 2, 
1nwb, A, 1, 101 , 0.366, 0.873 , Single , 3, 
1rc9, A, 2, 221 , 0.308, 0.785 , Single , 1, 
1giq, A, 2, 411 , 0.051, 0.723 , Multi , 2, 
1pc6, A, 1, 141 , 0.028, 0.750 , Single , 1, 
1mhd, A, 1, 123 , 0.358, 0.930 , Single , 1, 
1s9u, A, 1, 198 , 0.227, 0.876 , Single , 1, 
1rh5, A, 1, 410 , 0.283, 0.885 , Single , 1, 
1akd, A, 1, 405 , 0.274, 0.805 , Single , 3, 
1bdf, A, 2, 226 , 0.133, 0.530 , Multi , 2, 
1a8d, A, 2, 452 , 0.091, 0.617 , Multi , 2, 
1ryk, A, 1, 69 , 0.522, 0.834 , Single , 1, 
1ukv, G, 3, 444 , 0.182, 0.826 , Multi , 1, 
1okc, A, 1, 292 , 0.226, 0.801 , Single , 1, 
1gpc, A, 1, 218 , 0.087, 0.687 , Multi , 2, 
1a6s, A, 1, 87 , 0.448, 0.907 , Single , 3, 
1h0m, A, 2, 224 , 0.223, 0.669 , Single , 2, 
1r44, A, 1, 202 , 0.302, 0.858 , Single , 3, 
1fqy, A, 1, 226 , 0.354, 0.797 , Single , 1, 
1auu, A, 1, 55 , 0.345, 0.675 , Single , 2, 
1r2m, A, 1, 72 , 0.653, 0.900 , Single , 1, 
1jx7, A, 1, 114 , 0.404, 0.871 , Single , 1, 
1arq, A, 1, 53 , 0.245, 0.647 , Single , 3, 
1tvf, A, 2, 369 , 0.279, 0.792 , Single , 1, 
1dx5, I, 3, 118 , 0.195, 0.649 , Single , 2, 
1or7, A, 2, 181 , 0.105, 0.733 , Multi , 3, 
1f5y, A, 2, 85 , 0.106, 0.456 , Single , 2, 
1ovn, A, 2, 229 , 0.017, 0.524 , Multi , 2, 
1buh, B, 1, 70 , 0.357, 0.788 , Single , 1, 
1ev0, A, 1, 58 , 0.328, 0.582 , Single , 2, 
1bht, A, 2, 176 , 0.028, 0.627 , Multi , 2, 
1hyw, A, 1, 58 , 0.5, 0.707 , Single , 2, 
1d2t, A, 1, 222 , 0.275, 0.767 , Single , 1, 
1lb4, A, 1, 155 , 0.232, 0.679 , Single , 2, 
1d8h, A, 1, 288 , 0.229, 0.884 , Single , 5, 
1i1q, A, 1, 512 , 0.227, 0.894 , Single , 1, 
1a0o, A, 1, 128 , 0.383, 0.946 , Single , 1, 
1du2, A, 1, 76 , 0.276, 0.705 , Single , 3, 
1a19, A, 1, 89 , 0.404, 0.825 , Single , 1, 
1ou5, A, 2, 344 , 0.163, 0.678 , Multi , 2, 
1g2r, A, 1, 98 , 0.52, 0.869 , Single , 1, 
1agm, A, 1, 470 , 0.181, 0.865 , Multi , 1, 
1ef1, A, 3, 289 , 0.104, 0.769 , Multi , 3, 
1cm5, A, 1, 760 , 0.22, 0.867 , Single , 1, 
1fqj, C, 1, 38 , 0.211, 0.669 , Single , 2, 
1daq, A, 1, 71 , 0.408, 0.857 , Single , 1, 
1kf6, C, 1, 130 , 0.223, 0.742 , Single , 2, 
1yln, A, 2, 225 , 0.04, 0.447 , Multi , 2, 
1ckq, A, 1, 261 , 0.123, 0.739 , Multi , 2, 
1tdp, A, 1, 111 , 0.432, 0.815 , Single , 1, 
1dbh, A, 2, 332 , 0.099, 0.708 , Multi , 2, 
1a34, A, 1, 147 , 0.041, 0.649 , Single , 2, 
2ikb, A, 1, 158 , 0.114, 0.827 , Single , 1, 
1k7t, A, 4, 170 , 0.018, 0.649 , Multi , 2, 
1mog, A, 1, 67 , 0.388, 0.572 , Single , 2, 
1a7x, A, 1, 107 , 0.364, 0.800 , Single , 1, 
1l6e, A, 1, 45 , 0.2, 0.652 , Single , 2, 
1gak, A, 1, 137 , 0.241, 0.622 , Single , 2, 
1emw, A, 1, 88 , 0.489, 0.850 , Single , 3, 
1a7w, A, 1, 68 , 0.147, 0.447 , Single , 2, 
1njh, A, 1, 107 , 0.374, 0.877 , Single , 1, 
1b9g, A, 1, 57 , 0.596, 0.875 , Single , 1, 
1e0g, A, 1, 48 , 0.5, 0.849 , Single , 1, 
2fi0, A, 1, 79 , 0.228, 0.871 , Single , 1, 
1o6a, A, 1, 89 , 0.135, 0.728 , Single , 3, 
1hyk, A, 1, 46 , 0.283, 0.679 , Single , 2, 
1shy, B, 2, 499 , 0.164, 0.820 , Multi , 1, 
1fx3, A, 1, 143 , 0.196, 0.575 , Single , 2, 
1dd1, A, 1, 221 , 0.24, 0.809 , Single , 1, 
2i9x, A, 1, 81 , 0.284, 0.805 , Single , 3, 
2hly, A, 1, 206 , 0.267, 0.868 , Single , 1, 
117e, A, 1, 282 , 0.372, 0.916 , Single , 1, 
1o4u, A, 2, 265 , 0.147, 0.547 , Multi , 2, 
1h1j, S, 1, 44 , 0.409, 0.802 , Single , 4, 
1hq0, A, 1, 295 , 0.254, 0.903 , Single , 1, 
1aqt, A, 2, 135 , 0.267, 0.697 , Single , 2, 
1fgp, A, 1, 70 , 0.457, 0.813 , Single , 1, 
1dv0, A, 1, 45 , 0.778, 0.876 , Single , 3, 
3hn4, A, 3, 259 , 0.208, 0.753 , Single , 3, 
2f6s, A, 1, 176 , 0.381, 0.915 , Single , 3, 
1jsu, C, 1, 69 , 0.058, 0.495 , Single , 2, 
2iaz, A, 1, 105 , 0.2, 0.620 , Single , 2, 
1fo1, A, 2, 215 , 0.042, 0.620 , Multi , 2, 
1ll1, A, 3, 590 , 0.164, 0.866 , Multi , 1, 
1e8c, A, 3, 482 , 0.131, 0.785 , Multi , 1, 
1aye, A, 2, 307 , 0.349, 0.942 , Single , 1, 
1rfz, A, 1, 161 , 0.317, 0.847 , Single , 1, 
1p88, A, 1, 216 , 0.264, 0.889 , Single , 3, 
1a92, A, 1, 50 , 0.2, 0.381 , Single , 2, 
1t50, A, 1, 58 , 0.259, 0.784 , Single , 3, 
1q6a, A, 1, 107 , 0.393, 0.834 , Single , 1, 
1d0g, A, 1, 151 , 0.344, 0.702 , Single , 2, 
1ais, B, 2, 193 , 0.036, 0.542 , Multi , 2, 
1dky, A, 2, 211 , 0.147, 0.633 , Multi , 2, 
1b69, A, 1, 69 , 0.406, 0.835 , Single , 1, 
2in5, A, 1, 190 , 0.284, 0.860 , Single , 1, 
1by1, A, 1, 209 , 0.201, 0.734 , Single , 2, 
1vcl, A, 3, 431 , 0.13, 0.752 , Multi , 1, 
1b6r, A, 3, 349 , 0.181, 0.800 , Multi , 3, 
1dcj, A, 1, 81 , 0.494, 0.854 , Single , 1, 
1vpu, A, 1, 45 , 0.6, 0.881 , Single , 1, 
1bcp, A, 1, 224 , 0.268, 0.840 , Single , 1, 
1cw0, A, 1, 155 , 0.187, 0.768 , Single , 1, 
1lre, A, 1, 81 , 0.383, 0.714 , Single , 2, 
1qhl, A, 1, 203 , 0.212, 0.916 , Single , 1, 
1iie, A, 1, 75 , 0.133, 0.572 , Single , 2, 
1vgg, A, 1, 159 , 0.031, 0.798 , Single , 1, 
1fvl, A, 1, 70 , 0.243, 0.515 , Single , 2, 
1aew, A, 1, 170 , 0.271, 0.572 , Single , 2, 
1ay2, A, 1, 157 , 0.064, 0.608 , Single , 2, 
1eg9, A, 2, 447 , 0.157, 0.847 , Multi , 1, 
1r0v, A, 3, 244 , 0.135, 0.552 , Multi , 2, 
1huf, A, 1, 123 , 0.276, 0.862 , Single , 1, 
1aa3, A, 1, 63 , 0.556, 0.839 , Single , 1, 
1sed, A, 1, 113 , 0.221, 0.639 , Single , 2, 
1e91, A, 1, 85 , 0.235, 0.834 , Single , 1, 
1alq, A, 1, 259 , 0.247, 0.823 , Single , 1, 
1ile, A, 3, 821 , 0.112, 0.626 , Multi , 2, 
1hl6, A, 1, 119 , 0.0, 0.622 , Single , 2, 
1dfc, A, 4, 475 , 0.221, 0.765 , Single , 1, 
2ic8, A, 1, 182 , 0.374, 0.791 , Single , 1, 
1gpq, A, 1, 127 , 0.354, 0.905 , Single , 3, 
1j7g, A, 1, 144 , 0.375, 0.855 , Single , 1, 
1aci, A, 1, 76 , 0.395, 0.829 , Single , 1, 
1cwx, A, 1, 44 , 0.068, 0.504 , Single , 2, 
1cop, D, 1, 66 , 0.227, 0.706 , Single , 2, 
1ceu, A, 1, 51 , 0.196, 0.487 , Single , 2, 
1c9q, A, 1, 117 , 0.026, 0.517 , Single , 2, 
1a17, A, 1, 159 , 0.063, 0.510 , Single , 2, 
1co0, A, 1, 105 , 0.048, 0.724 , Single , 2, 
1hhn, A, 1, 101 , 0.129, 0.611 , Single , 2, 
1exk, A, 1, 79 , 0.139, 0.550 , Single , 2, 
1lsh, B, 1, 178 , 0.225, 0.665 , Single , 2, 
1o65, A, 1, 218 , 0.312, 0.866 , Single , 3, 
1agg, A, 1, 48 , 0.479, 0.788 , Single , 3, 
1h7d, A, 1, 49 , 0.082, 0.451 , Single , 2, 
1bbi, A, 1, 71 , 0.169, 0.721 , Single , 3, 
1fpo, A, 2, 171 , 0.14, 0.662 , Multi , 2, 
1f6v, A, 1, 91 , 0.385, 0.815 , Single , 1, 
1px5, A, 2, 327 , 0.15, 0.808 , Multi , 1, 
1a4h, A, 1, 214 , 0.29, 0.878 , Single , 3, 
1mkn, A, 1, 59 , 0.356, 0.754 , Single , 1, 
1avq, A, 1, 228 , 0.241, 0.801 , Single , 1, 
1nc7, A, 1, 113 , 0.327, 0.720 , Single , 2, 
1b1u, A, 1, 117 , 0.419, 0.852 , Single , 1, 
1ahl, A, 1, 49 , 0.327, 0.729 , Single , 2, 
1bgf, A, 1, 124 , 0.137, 0.808 , Single , 1, 
1dmw, A, 1, 307 , 0.322, 0.893 , Single , 3, 
1c5k, A, 2, 397 , 0.134, 0.678 , Multi , 2, 
1q25, A, 3, 428 , 0.075, 0.760 , Multi , 3, 
1ryl, A, 1, 157 , 0.268, 0.748 , Single , 2, 
1eik, A, 1, 77 , 0.182, 0.780 , Single , 1, 
1aom, A, 1, 439 , 0.264, 0.900 , Single , 1, 
1iwl, A, 1, 177 , 0.22, 0.872 , Single , 1, 
1fu1, A, 2, 174 , 0.057, 0.434 , Multi , 2, 
102l, A, 1, 162 , 0.13, 0.657 , Single , 2, 
1dlp, A, 2, 233 , 0.167, 0.710 , Multi , 2, 
1b79, A, 1, 102 , 0.324, 0.848 , Single , 1, 
2q07, A, 3, 266 , 0.15, 0.586 , Multi , 2, 
1fre, A, 1, 39 , 0.179, 0.788 , Single , 1, 
1a6d, A, 3, 503 , 0.101, 0.592 , Multi , 2, 
1iq4, A, 1, 179 , 0.201, 0.720 , Single , 2, 
1a0c, A, 1, 437 , 0.178, 0.860 , Multi , 1, 
1acb, I, 1, 63 , 0.492, 0.868 , Single , 1, 
1bxe, A, 1, 108 , 0.287, 0.593 , Single , 2, 
1dzu, P, 1, 209 , 0.273, 0.769 , Single , 1, 
1okg, A, 3, 347 , 0.101, 0.694 , Multi , 2, 
3bzk, A, 5, 730 , 0.059, 0.662 , Multi , 2, 
1lmz, A, 1, 187 , 0.305, 0.754 , Single , 1, 
1e2x, A, 2, 223 , 0.058, 0.522 , Multi , 2, 
2icg, A, 1, 161 , 0.342, 0.894 , Single , 3, 
1bbo, A, 2, 56 , 0.089, 0.515 , Single , 2, 
1y7m, A, 2, 161 , 0.18, 0.714 , Single , 2, 
2q22, A, 1, 129 , 0.457, 0.830 , Single , 1, 
2gjv, A, 1, 136 , 0.265, 0.636 , Single , 2, 
1dev, A, 1, 194 , 0.299, 0.732 , Single , 2, 
1js8, A, 2, 382 , 0.236, 0.848 , Single , 1, 
1l7v, A, 1, 313 , 0.31, 0.862 , Single , 1, 
1a16, A, 2, 439 , 0.089, 0.618 , Multi , 2, 
1tte, A, 2, 215 , 0.014, 0.565 , Multi , 2, 
1gd5, A, 1, 130 , 0.346, 0.835 , Single , 3, 
1nxh, A, 1, 119 , 0.067, 0.506 , Single , 2, 
1ah7, A, 1, 245 , 0.376, 0.804 , Single , 1, 
1ccd, A, 1, 77 , 0.247, 0.706 , Single , 2, 
1avv, A, 1, 99 , 0.303, 0.875 , Single , 1, 
1j8b, A, 1, 88 , 0.295, 0.516 , Single , 2, 
1ha0, A, 2, 494 , 0.083, 0.390 , Multi , 2, 
1fd3, A, 1, 41 , 0.78, 0.839 , Single , 3, 
