PDB, Chain, CATH, Length, Interaction Energy, Min. F(k), Single/Multi, Suggested K, FINAL
1n81, A, 1, 186 , 0.333, 0.805 , Single , 1, 
1occ, A, 1, 514 , 0.265, 0.819 , Single , 1, 
1jr5, A, 1, 90 , 0.422, 0.897 , Single , 3, 
1lm5, A, 1, 189 , 0.206, 0.768 , Single , 1, 
1mzg, A, 1, 140 , 0.243, 0.835 , Single , 1, 
101m, A, 1, 154 , 0.396, 0.791 , Single , 3, 
1txo, A, 1, 230 , 0.365, 0.902 , Single , 3, 
1ilv, A, 1, 235 , 0.226, 0.919 , Single , 4, 
1a1f, A, 3, 84 , 0.202, 0.600 , Single , 2, 
1wfe, A, 1, 86 , 0.035, 0.541 , Single , 2, 
1aro, L, 1, 149 , 0.302, 0.878 , Single , 1, 
1gwy, A, 1, 175 , 0.343, 0.866 , Single , 1, 
1bcc, D, 2, 241 , 0.046, 0.632 , Multi , 2, 
1d9n, A, 1, 75 , 0.347, 0.811 , Single , 1, 
1aun, A, 1, 208 , 0.245, 0.812 , Single , 3, 
1ap8, A, 1, 213 , 0.014, 0.684 , Multi , 2, 
1ttu, A, 3, 435 , 0.074, 0.674 , Multi , 2, 
1bkj, A, 1, 230 , 0.074, 0.815 , Multi , 3, 
1nij, A, 2, 317 , 0.215, 0.751 , Single , 1, 
1iu4, A, 1, 331 , 0.211, 0.794 , Single , 3, 
1b66, A, 1, 138 , 0.333, 0.631 , Single , 2, 
1ehk, A, 1, 544 , 0.268, 0.881 , Single , 1, 
1aj3, A, 1, 98 , 0.296, 0.538 , Single , 2, 
1ame, A, 1, 66 , 0.53, 0.852 , Single , 1, 
1c3q, A, 1, 284 , 0.236, 0.906 , Single , 3, 
2nwt, A, 1, 69 , 0.043, 0.281 , Single , 2, 
1h8e, D, 3, 467 , 0.133, 0.676 , Multi , 2, 
1ae9, A, 1, 171 , 0.444, 0.864 , Single , 1, 
1edx, A, 1, 40 , 0.575, 0.812 , Single , 4, 
155c, A, 1, 134 , 0.336, 0.865 , Single , 4, 
1di6, A, 1, 183 , 0.333, 0.895 , Single , 1, 
1jni, A, 1, 62 , 0.145, 0.801 , Single , 4, 
1eni, A, 1, 137 , 0.241, 0.744 , Single , 2, 
1a2a, A, 1, 122 , 0.32, 0.767 , Single , 1, 
1y1e, X, 1, 272 , 0.32, 0.894 , Single , 1, 
1d6g, A, 1, 47 , 0.128, 0.572 , Single , 2, 
2o34, A, 1, 241 , 0.282, 0.811 , Single , 3, 
1af5, A, 1, 126 , 0.27, 0.776 , Single , 1, 
1fcd, A, 3, 401 , 0.105, 0.719 , Multi , 2, 
1iu3, C, 1, 115 , 0.243, 0.815 , Single , 1, 
1aho, A, 1, 66 , 0.439, 0.830 , Single , 3, 
2iwm, A, 1, 334 , 0.171, 0.870 , Multi , 1, 
