No., PDB, Domains, CATH, K-Means, Overlap, Affinity Propagation, Overlap, Mean Shift, Overlap, Ward-Hierarchical, Overlap, Complete Agglomerative, Overlap, Average Agglomerative, DBSCAN, Overlap, Birch, Overlap
31,8atc, 2, 1  B    8 - B  100 -  1  B  101 - B  153 - , 8 - 72 74 - 75 77 - 98 -- 99 - 153 -- , 97.26,  19 - 26 44 - 48 56 - 58 -- 112 - 123 -- , 19.18,  8 - 31 33 - 68 80 - 96 -- 69 - 70 72 - 79 97 - 153 -- , 89.73,  8 - 98 -- 99 - 153 -- , 98.63,  8 - 19 21 - 65 83 - 94 -- 66 - 82 95 - 153 -- , 83.56,  8 - 101 -- 102 - 153 -- , 99.32,  8 - 153 -- 8 - 153 -- , 100.00,  8 - 98 -- 99 - 153 -- , 98.63
32,8atc, 2, 2  C    1 - C  133 -  C  292 - C  310 -  1  C  134 - C  291 - , 1 - 130 132 - 137 139 - 140 290 - 310 -- 141 - 289 -- , 97.10,  36 - 44 63 - 71 -- 158 - 163 185 - 190 193 - 194 210 - 214 -- , 11.94,  1 - 310 -- 1 - 310 -- , 100.00,  1 - 103 114 - 125 135 - 143 290 - 310 -- 104 - 113 126 - 134 144 - 289 -- , 90.65,  1 - 130 133 - 143 289 - 310 -- 131 - 132 144 - 288 -- , 95.16,  1 - 10 21 - 143 165 - 171 290 - 310 -- 11 - 20 144 - 164 172 - 289 -- , 90.65,  1 - 310 -- 1 - 310 -- , 100.00,  1 - 103 114 - 125 135 - 143 290 - 310 -- 104 - 113 126 - 134 144 - 289 -- , 90.65
33,8atc, 2, 1  D    8 - D  100 -  1  D  101 - D  153 - , 8 - 72 74 - 75 77 - 98 -- 99 - 153 -- , 97.26,  12 - 15 84 - 94 -- 127 - 136 146 - 147 -- , 19.18,  8 - 31 33 - 68 70 - 71 78 - 97 -- 72 - 73 75 - 77 98 - 153 -- , 93.15,  8 - 100 -- 101 - 153 -- , 100.00,  8 - 100 -- 101 - 153 -- , 100.00,  8 - 66 78 - 96 -- 67 - 77 97 - 153 -- , 89.73,  8 - 153 -- 8 - 153 -- , 100.00,  8 - 100 -- 101 - 153 -- , 100.00
34,1ofv, 1, 1  A    1 - A  169 - , 1 - 169 -- , 100.00,  19 - 33 -- , 8.88,  1 - 169 -- , 100.00,  1 - 169 -- , 100.00,  1 - 169 -- , 100.00,  1 - 169 -- , 100.00,  1 - 169 -- , 100.00,  1 - 169 -- , 100.00
35,2aza, 1, 1  A    1 - A  129 - , 1 - 129 -- , 100.00,  111 - 121 -- , 9.30,  1 - 129 -- , 100.00,  1 - 129 -- , 100.00,  1 - 129 -- , 100.00,  1 - 129 -- , 100.00,  1 - 129 -- , 100.00,  1 - 129 -- , 100.00
36,2aza, 1, 1  B    1 - B  129 - , 1 - 129 -- , 100.00,  46 - 49 111 - 122 -- , 12.40,  1 - 129 -- , 100.00,  1 - 129 -- , 100.00,  1 - 129 -- , 100.00,  1 - 129 -- , 100.00,  1 - 129 -- , 100.00,  1 - 129 -- , 100.00
37,8adh, 2, 2  A    1 - A  178 -  A  318 - A  374 -  1  A  179 - A  317 - , 1 - 105 109 - 175 322 - 337 346 - 363 369 - 374 -- 106 - 108 176 - 295 297 - 318 320 - 321 338 - 345 364 - 368 -- , 93.85,  41 - 45 348 - 355 370 - 374 -- 283 - 289 304 - 315 -- , 10.96,  1 - 105 109 - 175 296 - 297 323 - 333 335 - 336 346 - 363 369 - 374 -- 106 - 108 176 - 295 298 - 318 320 - 322 337 - 345 364 - 368 -- , 92.78,  1 - 174 322 - 374 -- 175 - 321 -- , 97.86,  1 - 178 296 - 297 322 - 374 -- 179 - 295 298 - 321 -- , 98.40,  1 - 178 322 - 374 -- 179 - 321 -- , 98.93,  1 - 374 -- 1 - 374 -- , 100.00,  1 - 174 322 - 374 -- 175 - 321 -- , 97.86
38,1bbh, 1, 1  A    1 - A  131 - , 1 - 131 -- , 100.00,  1 - 13 -- , 10.69,  1 - 18 49 - 92 120 - 131 -- , 56.49,  1 - 131 -- , 100.00,  1 - 131 -- , 100.00,  1 - 131 -- , 100.00,  1 - 131 -- , 100.00,  1 - 131 -- , 100.00
39,1bbh, 1, 1  B    1 - B  131 - , 1 - 131 -- , 100.00,  1 - 13 56 - 60 -- , 15.27,  1 - 17 52 - 89 121 - 131 -- , 50.38,  1 - 131 -- , 100.00,  1 - 131 -- , 100.00,  1 - 131 -- , 100.00,  1 - 131 -- , 100.00,  1 - 131 -- , 100.00
40,1wsy, 1, 1  A    1 - A  265 - , 1 - 265 -- , 100.00,  8 - 18 178 - 191 -- , 10.19,  1 - 265 -- , 100.00,  1 - 265 -- , 100.00,  1 - 265 -- , 100.00,  1 - 265 -- , 100.00,  1 - 265 -- , 100.00,  1 - 265 -- , 100.00
41,1wsy, 2, 2  B    9 - B   53 -  B   87 - B  205 -  2  B   54 - B   86 -  B  206 - B  393 - , 9 - 53 82 - 83 87 - 205 275 - 297 305 - 312 -- 54 - 81 84 - 86 206 - 232 236 - 274 298 - 302 313 - 393 -- , 90.65,  108 - 110 133 - 135 157 - 173 -- 257 - 269 297 - 300 304 - 305 328 - 332 -- , 12.21,  9 - 393 -- 9 - 393 -- , 100.00,  13 - 59 75 - 211 235 - 241 278 - 283 -- 9 - 12 60 - 74 212 - 234 242 - 277 284 - 393 -- , 89.35,  9 - 46 90 - 207 231 - 239 269 - 296 306 - 322 -- 47 - 89 208 - 230 240 - 268 297 - 305 323 - 393 -- , 82.86,  13 - 57 86 - 207 235 - 241 278 - 283 -- 9 - 12 58 - 85 208 - 234 242 - 277 284 - 393 -- , 93.77,  9 - 393 -- 9 - 393 -- , 100.00,  13 - 59 75 - 211 235 - 241 278 - 283 -- 9 - 12 60 - 74 212 - 234 242 - 277 284 - 393 -- , 89.35
42,1gmp, 1, 1  A    1 - A   96 - , 1 - 96 -- , 100.00,  67 - 71 81 - 88 -- , 13.54,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00
43,1gmp, 1, 1  B    1 - B   96 - , 1 - 96 -- , 100.00,  67 - 71 81 - 88 -- , 13.54,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00
44,1rve, 1, 1  A    2 - A  245 - , 2 - 245 -- , 100.00,  21 - 32 148 - 159 -- , 9.84,  2 - 245 -- , 100.00,  2 - 245 -- , 100.00,  2 - 245 -- , 100.00,  2 - 245 -- , 100.00,  2 - 245 -- , 100.00,  2 - 245 -- , 100.00
45,1rve, 1, 1  B    2 - B  245 - , 2 - 245 -- , 100.00,  21 - 31 149 - 159 -- , 9.02,  2 - 245 -- , 100.00,  2 - 245 -- , 100.00,  2 - 245 -- , 100.00,  2 - 245 -- , 100.00,  2 - 245 -- , 100.00,  2 - 245 -- , 100.00
46,1ppn, 1, 1  A    1 - A  212 - , 1 - 212 -- , 100.00,  15 - 18 173 - 187 -- , 9.43,  1 - 212 -- , 100.00,  1 - 212 -- , 100.00,  1 - 212 -- , 100.00,  1 - 212 -- , 100.00,  1 - 212 -- , 100.00,  1 - 212 -- , 100.00
47,1gmf, 1, 1  A    5 - A  123 - , 5 - 123 -- , 100.00,  5 - 16 119 - 120 -- , 11.76,  5 - 123 -- , 100.00,  5 - 123 -- , 100.00,  5 - 123 -- , 100.00,  5 - 123 -- , 100.00,  5 - 123 -- , 100.00,  5 - 123 -- , 100.00
48,1gmf, 1, 1  B    5 - B  123 - , 5 - 123 -- , 100.00,  5 - 16 119 - 120 -- , 11.76,  5 - 123 -- , 100.00,  5 - 123 -- , 100.00,  5 - 123 -- , 100.00,  5 - 123 -- , 100.00,  5 - 123 -- , 100.00,  5 - 123 -- , 100.00
49,1brd, 1, 1  A    8 - A  226 - , 8 - 225 -- , 99.54,  8 - 16 33 - 37 60 - 73 101 - 105 128 - 136 158 - 165 192 - 202 205 - 206 -- , 29.22,  8 - 225 -- , 99.54,  8 - 225 -- , 99.54,  8 - 225 -- , 99.54,  8 - 225 -- , 99.54,  8 - 225 -- , 99.54,  8 - 225 -- , 99.54
50,2tmv, 1, 1  P    1 - P  154 - , 1 - 154 -- , 100.00,  30 - 46 -- , 11.04,  1 - 154 -- , 100.00,  1 - 154 -- , 100.00,  1 - 154 -- , 100.00,  1 - 154 -- , 100.00,  1 - 154 -- , 100.00,  1 - 154 -- , 100.00
51,1fxi, 1, 1  A    1 - A   96 - , 1 - 96 -- , 100.00,  39 - 44 61 - 65 77 - 78 -- , 13.54,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00
52,1fxi, 1, 1  B    1 - B   96 - , 1 - 96 -- , 100.00,  20 - 24 57 - 60 79 - 82 -- , 13.54,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00
53,1fxi, 1, 1  C    1 - C   96 - , 1 - 96 -- , 100.00,  25 - 34 -- , 10.42,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00
54,1fxi, 1, 1  D    1 - D   96 - , 1 - 96 -- , 100.00,  4 - 6 51 - 56 83 - 87 -- , 14.58,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00,  1 - 96 -- , 100.00
55,3grs, 3, 2  A   18 - A  160 -  A  290 - A  365 -  1  A  161 - A  289 -  1  A  366 - A  478 - , 18 - 60 107 - 159 292 - 364 -- 61 - 106 160 - 223 235 - 291 372 - 374 412 - 413 -- 224 - 234 365 - 371 375 - 411 414 - 478 -- , 85.68,  29 - 32 34 - 35 329 - 330 335 - 346 362 - 364 -- 216 - 220 246 - 250 264 - 277 -- 399 - 401 457 - 478 -- , 16.05,  18 - 478 -- 18 - 478 -- 18 - 478 -- , 100.00,  18 - 52 119 - 161 291 - 361 -- 53 - 118 162 - 290 369 - 379 401 - 419 434 - 444 465 - 472 -- 362 - 368 380 - 400 420 - 433 445 - 464 473 - 478 -- , 73.75,  18 - 61 102 - 161 291 - 368 -- 62 - 72 96 - 101 162 - 290 -- 73 - 95 369 - 478 -- , 90.24,  18 - 55 110 - 157 295 - 361 -- 56 - 76 93 - 109 158 - 220 243 - 294 -- 77 - 92 221 - 242 362 - 478 -- , 80.91,  18 - 478 -- 18 - 478 -- 18 - 478 -- , 100.00,  18 - 52 119 - 161 291 - 361 -- 53 - 118 162 - 290 369 - 379 401 - 419 434 - 444 465 - 472 -- 362 - 368 380 - 400 420 - 433 445 - 464 473 - 478 -- , 73.75
