56,3don, A, 2,  0.97 ,  Non-Contiguous
57,1d2h, A, 2,  0.65 ,  Non-Contiguous
58,1rqu, A, 2,  0.92 ,  Contiguous
59,2ra9, A, 2,  0.97 ,  Contiguous
60,2wnp, F, 2,  0.56 ,  Non-Contiguous
61,3e2o, A, 2,  0.98 ,  Non-Contiguous
62,2phn, A, 2,  0.90 ,  Non-Contiguous
63,1vl2, D, 2,  0.87 ,  Contiguous
64,1tfe, A, 2,  0.98 ,  Non-Contiguous
65,1qlm, A, 2,  0.89 ,  Non-Contiguous
66,1u4g, A, 2,  0.97 ,  Contiguous
67,1xvi, A, 2,  1.00 ,  Non-Contiguous
68,3h9v, A, 2,  0.67 ,  Non-Contiguous
69,1xr4, A, 2,  1.00 ,  Contiguous
70,1b8f, A, 2,  0.85 ,  Contiguous
71,1feu, A, 2,  0.96 ,  Contiguous
72,1j7x, A, 2,  0.98 ,  Non-Contiguous
73,1eyq, A, 2,  0.60 ,  Non-Contiguous
74,3md2, A, 2,  0.97 ,  Contiguous
75,1jaj, A, 2,  0.99 ,  Contiguous
76,1wer, A, 2,  0.92 ,  Non-Contiguous
77,1dc1, A, 2,  0.98 ,  Non-Contiguous
78,1x9y, A, 2,  1.00 ,  Contiguous
79,2aua, A, 2,  0.76 ,  Non-Contiguous
80,2dkj, A, 2,  0.98 ,  Non-Contiguous
81,1ctu, A, 2,  0.95 ,  Contiguous
82,1wlf, A, 2,  0.99 ,  Contiguous
83,3bt3, A, 2,  0.91 ,  Contiguous
84,1duw, A, 2,  0.89 ,  Non-Contiguous
85,1g38, A, 2,  0.99 ,  Contiguous
86,1now, A, 2,  0.81 ,  Contiguous
87,2oez, A, 2,  0.76 ,  Non-Contiguous
88,1ual, A, 2,  1.00 ,  Contiguous
89,1cip, A, 2,  0.99 ,  Non-Contiguous
90,1rku, A, 2,  0.75 ,  Non-Contiguous
91,2arz, A, 2,  1.00 ,  Contiguous
92,2qik, A, 2,  0.99 ,  Contiguous
93,1kb0, A, 2,  0.51 ,  Contiguous
94,1po3, A, 2,  0.53 ,  Contiguous
95,2ibd, A, 2,  0.77 ,  Contiguous
96,2r01, A, 2,  0.99 ,  Contiguous
97,2nnu, A, 2,  0.99 ,  Contiguous
98,2fcw, B, 2,  0.99 ,  Contiguous
99,1jhd, A, 2,  0.92 ,  Contiguous
100,1fs0, G, 2,  0.59 ,  Non-Contiguous
101,1cjc, A, 2,  0.96 ,  Non-Contiguous
102,2bgh, A, 2,  0.99 ,  Contiguous
103,3hbu, P, 2,  0.80 ,  Non-Contiguous
104,1n6c, A, 2,  1.00 ,  Contiguous
105,2elc, A, 2,  0.89 ,  Contiguous
106,3prc, C, 2,  0.79 ,  Non-Contiguous
107,1qo6, A, 2,  0.98 ,  Contiguous
