Chain:  2fi1A ,  Domains (CATH):  2 ,  Domain 1 :  4 - 18    83 - 190 ,  Domain 2 :  19 - 82 ,  Length:  187 ,  IS-Sum_2:  3.51 ,  IS-Sum_3:  22.8 ,  IS-Sum_4:  40.1 ,  Assigned Domain:  2
Chain:  1pg5B ,  Domains (CATH):  2 ,  Domain 1 :  11 - 103 ,  Domain 2 :  104 - 160 ,  Length:  148 ,  IS-Sum_2:  4.4 ,  IS-Sum_3:  29.3 ,  IS-Sum_4:  55.4 ,  Assigned Domain:  2
Chain:  1f97A ,  Domains (CATH):  2 ,  Domain 1 :  27 - 128 ,  Domain 2 :  129 - 238 ,  Length:  207 ,  IS-Sum_2:  2.88 ,  IS-Sum_3:  23.1 ,  IS-Sum_4:  40.8 ,  Assigned Domain:  2
Chain:  1ixmA ,  Domains (CATH):  2 ,  Domain 1 :  13 - 71 ,  Domain 2 :  72 - 191 ,  Length:  168 ,  IS-Sum_2:  6.89 ,  IS-Sum_3:  24.4 ,  IS-Sum_4:  32.7 ,  Assigned Domain:  2
Chain:  1ho8A ,  Domains (CATH):  2 ,  Domain 1 :  2 - 354 ,  Domain 2 :  366 - 477 ,  Length:  447 ,  IS-Sum_2:  3.75 ,  IS-Sum_3:  4.91 ,  IS-Sum_4:  13.6 ,  Assigned Domain:  2
Chain:  1p5jA ,  Domains (CATH):  2 ,  Domain 1 :  4 - 40    137 - 322 ,  Domain 2 :  41 - 136 ,  Length:  319 ,  IS-Sum_2:  5.82 ,  IS-Sum_3:  19.2 ,  IS-Sum_4:  38.2 ,  Assigned Domain:  2
Chain:  2r6gF ,  Domains (CATH):  4 ,  Domain 1 :  13 - 95 ,  Domain 2 :  96 - 117    206 - 269 ,  Domain 3 :  118 - 205 ,  Domain 4 :  270 - 504 ,  Length:  490 ,  IS-Sum_2:  2.34 ,  IS-Sum_3:  6.89 ,  IS-Sum_4:  8.79 ,  Assigned Domain:  4
Chain:  1pu6A ,  Domains (CATH):  2 ,  Domain 1 :  2 - 21    145 - 218 ,  Domain 2 :  22 - 144 ,  Length:  216 ,  IS-Sum_2:  4.41 ,  IS-Sum_3:  20.2 ,  IS-Sum_4:  34.1 ,  Assigned Domain:  2
Chain:  1ll7A ,  Domains (CATH):  2 ,  Domain 1 :  36 - 291    355 - 427 ,  Domain 2 :  292 - 354 ,  Length:  392 ,  IS-Sum_2:  5.91 ,  IS-Sum_3:  16.6 ,  IS-Sum_4:  29.4 ,  Assigned Domain:  2
Chain:  2o6iA ,  Domains (CATH):  2 ,  Domain 1 :  4 - 244    370 - 413 ,  Domain 2 :  245 - 367    414 - 453 ,  Length:  442 ,  IS-Sum_2:  4.94 ,  IS-Sum_3:  10.9 ,  IS-Sum_4:  20.6 ,  Assigned Domain:  2
Chain:  1kv9A ,  Domains (CATH):  2 ,  Domain 1 :  1 - 561 ,  Domain 2 :  562 - 664 ,  Length:  664 ,  IS-Sum_2:  9.56 ,  IS-Sum_3:  14.1 ,  IS-Sum_4:  22.8 ,  Assigned Domain:  2
Chain:  1b8aA ,  Domains (CATH):  2 ,  Domain 1 :  1 - 105 ,  Domain 2 :  106 - 438 ,  Length:  438 ,  IS-Sum_2:  2.17 ,  IS-Sum_3:  12.7 ,  IS-Sum_4:  14.7 ,  Assigned Domain:  2
