2 , ('3', '30', '830') , 0
3 , ('3', '30', '450') , 1
2 , ('3', '30', '390') , 1
2 , ('1', '10', '1200') , 0
2 , ('2', '30', '29') , 2
2 , ('2', '10', '69') , 0
2 , ('3', '40', '50') , 48
2 , ('2', '70', '98') , 0
2 , ('2', '60', '40') , 50
2 , ('3', '40', '1170') , 0
3 , ('3', '30', '572') , 0
3 , ('1', '10', '1600') , 1
2 , ('1', '10', '390') , 0
2 , ('1', '10', '1060') , 3
2 , ('1', '20', '1300') , 0
3 , ('2', '20', '70') , 0
2 , ('3', '90', '890') , 0
3 , ('3', '30', '505') , 2
3 , ('1', '10', '1740') , 10
3 , ('1', '10', '1280') , 1
2 , ('1', '10', '1000') , 0
2 , ('2', '60', '60') , 0
2 , ('1', '20', '1090') , 2
2 , ('1', '40', '10') , 0
3 , ('3', '30', '1370') , 1
2 , ('2', '10', '22') , 0
2 , ('1', '10', '10') , 4
2 , None , 104
2 , ('1', '20', '1380') , 0
2 , None , 104
2 , ('3', '10', '28') , 0
3 , ('3', '30', '390') , 28
2 , ('3', '90', '1720') , 0
2 , ('1', '20', '5') , 0
2 , ('2', '40', '70') , 1
2 , None , 104
2 , ('3', '40', '50') , 48
2 , ('2', '40', '50') , 6
3 , ('1', '10', '472') , 0
4 , ('2', '40', '50') , 1
2 , ('1', '50', '10') , 1
2 , ('3', '40', '1700') , 0
3 , None , 136
2 , ('3', '90', '70') , 0
2 , ('3', '30', '1380') , 0
3 , ('3', '40', '970') , 0
2 , ('1', '10', '3920') , 0
2 , ('1', '20', '200') , 0
3 , ('3', '30', '470') , 2
2 , ('1', '10', '606') , 0
2 , ('3', '90', '850') , 0
2 , ('2', '170', '15') , 0
2 , ('1', '10', '260') , 0
2 , None , 104
2 , ('1', '10', '1040') , 0
4 , None , 136
2 , ('3', '30', '70') , 9
2 , ('1', '10', '20') , 0
2 , ('3', '30', '160') , 0
2 , ('2', '20', '180') , 0
3 , ('1', '20', '58') , 1
2 , ('3', '30', '210') , 0
2 , ('2', '40', '20') , 0
2 , ('2', '20', '100') , 0
2 , ('3', '30', '230') , 2
2 , ('2', '110', '10') , 0
2 , ('3', '100', '10') , 0
2 , None , 104
3 , ('3', '10', '100') , 1
2 , ('2', '30', '270') , 0
2 , ('2', '40', '50') , 6
2 , ('3', '30', '1450') , 1
3 , ('3', '80', '20') , 1
2 , ('3', '30', '1370') , 0
3 , ('1', '20', '150') , 9
3 , ('1', '10', '1140') , 15
2 , ('1', '10', '10') , 4
2 , ('3', '90', '1210') , 0
4 , ('1', '10', '45') , 4
2 , ('3', '90', '650') , 0
2 , ('2', '170', '180') , 0
2 , ('2', '60', '20') , 0
2 , ('4', '10', '140') , 0
2 , ('1', '10', '490') , 0
2 , ('3', '30', '950') , 2
4 , ('2', '60', '40') , 62
2 , ('3', '30', '1300') , 0
2 , ('3', '40', '50') , 48
2 , ('1', '20', '58') , 3
2 , None , 104
2 , ('1', '10', '3580') , 0
2 , ('1', '10', '1720') , 0
2 , ('1', '20', '1430') , 0
2 , ('3', '90', '780') , 0
2 , ('2', '170', '120') , 0
2 , None , 104
2 , ('2', '70', '9') , 0
2 , ('3', '90', '1260') , 1
2 , ('3', '90', '176') , 0
3 , ('2', '60', '40') , 22
2 , ('3', '90', '110') , 4
3 , ('2', '10', '10') , 9
2 , ('1', '10', '357') , 4
3 , ('3', '40', '20') , 1
3 , ('3', '30', '60') , 1
2 , None , 104
2 , ('2', '40', '170') , 0
2 , ('3', '30', '70') , 9
3 , ('1', '20', '140') , 6
2 , ('2', '40', '100') , 0
3 , ('1', '10', '170') , 5
2 , ('1', '10', '740') , 0
4 , ('3', '30', '300') , 3
3 , ('3', '90', '1340') , 0
2 , ('1', '20', '1440') , 0
2 , ('2', '30', '30') , 4
2 , ('1', '10', '10') , 4
4 , ('2', '60', '40') , 62
2 , ('1', '10', '418') , 2
2 , ('1', '10', '565') , 1
2 , ('3', '90', '940') , 0
2 , ('3', '40', '50') , 48
2 , ('2', '10', '50') , 1
3 , ('2', '40', '20') , 0
3 , None , 136
2 , ('2', '10', '25') , 1
4 , ('3', '90', '100') , 1
3 , ('3', '30', '505') , 2
4 , ('1', '10', '510') , 1
3 , ('1', '10', '510') , 2
2 , ('2', '30', '22') , 0
2 , ('2', '10', '25') , 1
2 , ('2', '40', '128') , 0
4 , ('2', '10', '220') , 6
2 , ('2', '160', '10') , 2
3 , ('3', '40', '50') , 43
2 , ('2', '60', '210') , 0
