No., PDB, Chain, Domains, CATH, K-Means, p-value
34,1kgd, A, 2,  " Domain 1 :  732 - 763    827 - 909

Domain 2 :  764 - 826 " ,  " Domain 1 :  732 - 762    846 - 909

Domain 2 :  763 - 845 " ,  0.89
35,1l5o, A, 2,  " Domain 1 :  4 - 57    330 - 349

Domain 2 :  58 - 329 " ,  " Domain 1 :  4 - 62    321 - 349

Domain 2 :  63 - 320 " ,  0.96
36,1m1h, A, 2,  " Domain 1 :  5 - 49    132 - 186

Domain 2 :  50 - 131 " ,  " Domain 1 :  5 - 51    132 - 186

Domain 2 :  52 - 131 " ,  0.99
37,1msk, A, 2,  " Domain 1 :  901 - 935    996 - 1064    1093 - 1227

Domain 2 :  936 - 995    1065 - 1092 " ,  " Domain 1 :  901 - 932    999 - 1061    1130 - 1227

Domain 2 :  933 - 998    1062 - 1129 " ,  0.86
38,1n4w, A, 2,  " Domain 1 :  9 - 155    216 - 322    385 - 405    443 - 507

Domain 2 :  156 - 215    323 - 384    406 - 442 " ,  " Domain 1 :  9 - 47    131 - 155    228 - 319    448 - 506

Domain 2 :  48 - 130    156 - 227    320 - 447 " ,  0.75
39,1n7u, A, 2,  " Domain 1 :  2 - 59    323 - 555

Domain 2 :  60 - 322 " ,  " Domain 1 :  2 - 83    318 - 555

Domain 2 :  84 - 317 " ,  0.95
40,1noy, B, 2,  " Domain 1 :  2 - 106    339 - 370

Domain 2 :  107 - 338 " ,  " Domain 1 :  2 - 107    337 - 370

Domain 2 :  108 - 336 " ,  0.99
41,1ocy, A, 2,  " Domain 1 :  330 - 396    519 - 527

Domain 2 :  397 - 518 " ,  " Domain 1 :  330 - 410

Domain 2 :  411 - 527 " ,  0.88
42,1pg2, A, 2,  " Domain 1 :  4 - 388    532 - 550

Domain 2 :  389 - 531 " ,  " Domain 1 :  4 - 328

Domain 2 :  329 - 550 " ,  0.86
43,1poi, A, 2,  " Domain 1 :  2 - 116    170 - 319

Domain 2 :  117 - 169 " ,  " Domain 1 :  2 - 86    175 - 319

Domain 2 :  87 - 174 " ,  0.89
44,1q33, A, 2,  " Domain 1 :  59 - 168    270 - 279

Domain 2 :  169 - 269    281 - 350 " ,  " Domain 1 :  59 - 170

Domain 2 :  171 - 350 " ,  0.96
45,1q7e, A, 2,  " Domain 1 :  3 - 244    342 - 419

Domain 2 :  245 - 341 " ,  " Domain 1 :  3 - 145    168 - 205    353 - 419

Domain 2 :  146 - 167    206 - 352 " ,  0.83
46,1qhd, A, 2,  " Domain 1 :  1 - 158    329 - 397

Domain 2 :  159 - 328 " ,  " Domain 1 :  1 - 152    330 - 397

Domain 2 :  153 - 329 " ,  0.98
47,1qlm, A, 2,  " Domain 1 :  1 - 44    96 - 169

Domain 2 :  45 - 95    170 - 316 " ,  " Domain 1 :  1 - 62    87 - 176

Domain 2 :  63 - 86    177 - 316 " ,  0.89
48,1qr0, A, 2,  " Domain 1 :  1 - 103    207 - 228

Domain 2 :  104 - 206 " ,  " Domain 1 :  1 - 102

Domain 2 :  103 - 228 " ,  0.90
49,1r0m, A, 2,  " Domain 1 :  6 - 123    354 - 375

Domain 2 :  124 - 353 " ,  " Domain 1 :  6 - 136    249 - 375

Domain 2 :  137 - 248 " ,  0.68
50,1r1h, A, 2,  " Domain 1 :  54 - 103    431 - 482    530 - 749

Domain 2 :  104 - 430    483 - 529 " ,  " Domain 1 :  54 - 120    423 - 488    531 - 749

Domain 2 :  121 - 422    489 - 530 " ,  0.95
51,1r8j, A, 2,  " Domain 1 :  1 - 141    146 - 167

Domain 2 :  168 - 282 " ,  " Domain 1 :  1 - 168

Domain 2 :  169 - 282 " ,  0.98
52,1ra0, A, 2,  " Domain 1 :  4 - 56    365 - 426

Domain 2 :  57 - 364 " ,  " Domain 1 :  4 - 58    364 - 426

Domain 2 :  59 - 363 " ,  0.99
53,1rkq, A, 2,  " Domain 1 :  1 - 87    195 - 271

Domain 2 :  88 - 194 " ,  " Domain 1 :  1 - 85    197 - 271

Domain 2 :  86 - 196 " ,  0.99
54,1rku, A, 2,  " Domain 1 :  0 - 12    70 - 90    129 - 205

Domain 2 :  13 - 69    91 - 128 " ,  " Domain 1 :  69 - 205

Domain 2 :  0 - 68 " ,  0.75
55,1rlh, A, 2,  " Domain 1 :  -15 - 5    107 - 135

Domain 2 :  6 - 106 " ,  " Domain 1 :  75 - 135

Domain 2 :  -15 - 74 " ,  0.65
56,1rut, X, 2,  " Domain 1 :  19 - 82    314 - 327

Domain 2 :  83 - 313 " ,  " Domain 1 :  19 - 82

Domain 2 :  83 - 327 " ,  0.95
57,1ryi, A, 2,  " Domain 1 :  1 - 91    145 - 218    306 - 364

Domain 2 :  92 - 144    219 - 305 " ,  " Domain 1 :  1 - 88    150 - 221    301 - 364

Domain 2 :  89 - 149    222 - 300 " ,  0.96
58,1s2o, A, 2,  " Domain 1 :  1 - 88    160 - 244

Domain 2 :  89 - 159 " ,  " Domain 1 :  1 - 80    163 - 244

Domain 2 :  81 - 162 " ,  0.95
59,1t7d, A, 2,  " Domain 1 :  80 - 153    263 - 323

Domain 2 :  154 - 262 " ,  " Domain 1 :  80 - 184    228 - 323

Domain 2 :  185 - 227 " ,  0.73
60,1tfe, A, 2,  " Domain 1 :  55 - 109    155 - 196

Domain 2 :  110 - 154 " ,  " Domain 1 :  55 - 109    155 - 196

Domain 2 :  110 - 154 " ,  1.00
61,1uun, A, 2,  " Domain 1 :  1 - 71    124 - 184

Domain 2 :  72 - 123 " ,  " Domain 1 :  1 - 75    119 - 184

Domain 2 :  76 - 118 " ,  0.95
62,1v0u, A, 2,  " Domain 1 :  6 - 47    264 - 513

Domain 2 :  48 - 263 " ,  " Domain 1 :  284 - 513

Domain 2 :  6 - 283 " ,  0.88
63,1v33, A, 2,  " Domain 1 :  1 - 176    280 - 346

Domain 2 :  177 - 279 " ,  " Domain 1 :  1 - 167    279 - 346

Domain 2 :  168 - 278 " ,  0.97
64,1v4t, A, 2,  " Domain 1 :  15 - 59    218 - 444

Domain 2 :  60 - 217    445 - 461 " ,  " Domain 1 :  15 - 40    157 - 179    257 - 388    410 - 433

Domain 2 :  41 - 156    180 - 256    389 - 409    434 - 461 " ,  0.75
65,1vaj, A, 2,  " Domain 1 :  3 - 113    188 - 205

Domain 2 :  114 - 187 " ,  " Domain 1 :  3 - 111

Domain 2 :  112 - 205 " ,  0.90
66,1vin, A, 2,  " Domain 1 :  181 - 194    308 - 432

Domain 2 :  195 - 307 " ,  " Domain 1 :  309 - 432

Domain 2 :  181 - 308 " ,  0.94
67,1vk1, A, 2,  " Domain 1 :  11 - 96    227 - 242

Domain 2 :  97 - 226 " ,  " Domain 1 :  11 - 99

Domain 2 :  100 - 242 " ,  0.92
68,1vky, B, 2,  " Domain 1 :  4 - 63    174 - 335

Domain 2 :  64 - 142 " ,  " Domain 1 :  4 - 60    174 - 197    230 - 335

Domain 2 :  61 - 173    198 - 229 " ,  0.80
69,1vq8, W, 2,  " Domain 1 :  1 - 57    114 - 154

Domain 2 :  58 - 113 " ,  " Domain 1 :  1 - 57    117 - 154

Domain 2 :  58 - 116 " ,  0.98
70,1w5r, A, 2,  " Domain 1 :  3 - 85    186 - 275

Domain 2 :  86 - 185 " ,  " Domain 1 :  194 - 275

Domain 2 :  3 - 193 " ,  0.67
71,1wer, A, 2,  " Domain 1 :  718 - 805    982 - 1041

Domain 2 :  806 - 981 " ,  " Domain 1 :  718 - 782    978 - 1041

Domain 2 :  783 - 977 " ,  0.92
72,1wqg, A, 2,  " Domain 1 :  2 - 30    106 - 185

Domain 2 :  31 - 105 " ,  " Domain 1 :  2 - 20

Domain 2 :  21 - 185 " ,  0.51
73,1wte, B, 2,  " Domain 1 :  1 - 87    213 - 272

Domain 2 :  88 - 212 " ,  " Domain 1 :  1 - 68    226 - 272

Domain 2 :  69 - 225 " ,  0.88
74,1x1o, B, 2,  " Domain 1 :  11 - 130    274 - 286

Domain 2 :  131 - 273 " ,  " Domain 1 :  11 - 119

Domain 2 :  120 - 286 " ,  0.91
75,1x3l, A, 2,  " Domain 1 :  1 - 21    267 - 436

Domain 2 :  22 - 266 " ,  " Domain 1 :  1 - 21    268 - 436

Domain 2 :  22 - 267 " ,  1.00
76,1x7d, B, 2,  " Domain 1 :  2 - 125    296 - 340

Domain 2 :  126 - 295 " ,  " Domain 1 :  2 - 109    297 - 340

Domain 2 :  110 - 296 " ,  0.95
77,1x87, B, 2,  " Domain 1 :  11 - 135    354 - 550

Domain 2 :  136 - 353 " ,  " Domain 1 :  11 - 140    346 - 550

Domain 2 :  141 - 345 " ,  0.98
78,1x9p, A, 2,  " Domain 1 :  49 - 130    436 - 467    521 - 569

Domain 2 :  131 - 435    468 - 520 " ,  " Domain 1 :  49 - 132    434 - 471    518 - 569

Domain 2 :  133 - 433    472 - 517 " ,  0.98
79,1xqo, A, 2,  " Domain 1 :  2 - 26    162 - 254

Domain 2 :  27 - 161 " ,  " Domain 1 :  2 - 26    162 - 254

Domain 2 :  27 - 161 " ,  1.00
80,1xqs, C, 2,  " Domain 1 :  192 - 228    313 - 356

Domain 2 :  229 - 312 " ,  " Domain 1 :  192 - 229    308 - 356

Domain 2 :  230 - 307 " ,  0.96
81,1xub, A, 2,  " Domain 1 :  1 - 119    268 - 278

Domain 2 :  120 - 267 " ,  " Domain 1 :  1 - 119

Domain 2 :  120 - 278 " ,  0.96
82,1xvi, A, 2,  " Domain 1 :  4 - 92    187 - 235

Domain 2 :  93 - 186 " ,  " Domain 1 :  4 - 91    187 - 235

Domain 2 :  92 - 186 " ,  1.00
83,1ytb, A, 2,  " Domain 1 :  61 - 71    158 - 240

Domain 2 :  72 - 157 " ,  " Domain 1 :  160 - 240

Domain 2 :  61 - 159 " ,  0.93
84,1z0s, A, 2,  " Domain 1 :  1 - 101    227 - 249

Domain 2 :  102 - 226 " ,  " Domain 1 :  1 - 100    227 - 249

Domain 2 :  101 - 226 " ,  1.00
85,1zym, A, 2,  " Domain 1 :  3 - 20    147 - 249

Domain 2 :  21 - 146 " ,  " Domain 1 :  149 - 249

Domain 2 :  3 - 148 " ,  0.92
86,2aaf, B, 2,  " Domain 1 :  6 - 71    157 - 418

Domain 2 :  72 - 156 " ,  " Domain 1 :  220 - 418

Domain 2 :  6 - 219 " ,  0.69
87,2aj2, A, 2,  " Domain 1 :  6 - 53    144 - 192

Domain 2 :  54 - 143 " ,  " Domain 1 :  6 - 53    143 - 192

Domain 2 :  54 - 142 " ,  0.99
88,2aua, A, 2,  " Domain 1 :  -11 - 30    100 - 149    172 - 195

Domain 2 :  31 - 99    150 - 171 " ,  " Domain 1 :  -11 - 35    77 - 195

Domain 2 :  36 - 76 " ,  0.76
89,2bf6, A, 2,  " Domain 1 :  243 - 360    427 - 691

Domain 2 :  361 - 426 " ,  " Domain 1 :  464 - 690

Domain 2 :  243 - 463 " ,  0.65
90,2bmo, A, 2,  " Domain 1 :  3 - 33    163 - 439

Domain 2 :  34 - 162 " ,  " Domain 1 :  158 - 439

Domain 2 :  3 - 157 " ,  0.92
91,2c7p, A, 2,  " Domain 1 :  1 - 186    285 - 327

Domain 2 :  187 - 284 " ,  " Domain 1 :  1 - 185    304 - 327

Domain 2 :  186 - 303 " ,  0.94
92,2cx0, A, 2,  " Domain 1 :  0 - 87    171 - 183

Domain 2 :  88 - 170 " ,  " Domain 1 :  0 - 85

Domain 2 :  86 - 183 " ,  0.92
93,2dkj, A, 2,  " Domain 1 :  6 - 32    285 - 407

Domain 2 :  33 - 284 " ,  " Domain 1 :  6 - 37    281 - 407

Domain 2 :  38 - 280 " ,  0.98
94,2dpm, A, 2,  " Domain 1 :  10 - 64    168 - 284

Domain 2 :  65 - 167 " ,  " Domain 1 :  10 - 63    169 - 284

Domain 2 :  64 - 168 " ,  0.99
95,2e6f, A, 2,  " Domain 1 :  0 - 52    71 - 195    222 - 311

Domain 2 :  53 - 70    196 - 221 " ,  " Domain 1 :  0 - 221

Domain 2 :  222 - 311 " ,  0.57
96,2ewj, A, 2,  " Domain 1 :  5 - 173    236 - 288

Domain 2 :  174 - 235    289 - 309 " ,  " Domain 1 :  5 - 174    236 - 309

Domain 2 :  175 - 235 " ,  0.93
97,2glf, A, 2,  " Domain 1 :  3 - 98    234 - 452

Domain 2 :  99 - 233 " ,  " Domain 1 :  3 - 97    249 - 452

Domain 2 :  98 - 248 " ,  0.96
