No., PDB, Domains, CATH, Interaction Energy for 1 Domain, Interaction Energy for 2 Domains, Interaction Energy for 3 Domains, Interaction Energy for 4 Domains, Interaction Energy for 5 Domains, Interaction Energy for 6 Domains
41, 1uiw,1, 1  G    1 - G  141 - ,0,0.071,0.09,0.114,0.137,0.132
42, 1uiw,1, 1  H    1 - H  146 - ,0,0.077,0.094,0.099,0.127,0.147
43, 2cv0,5, 2  A    1 - A   70 -  A  187 - A  237 -  1  A   71 - A  186 -  1  A  238 - A  322 -  1  A  323 - A  370 -  1  A  371 - A  468 - ,0,0.014,0.038,0.038,0.055,0.062
44, 2cv0,5, 2  B    1 - B   70 -  B  187 - B  237 -  1  B   71 - B  186 -  1  B  238 - B  322 -  1  B  323 - B  370 -  1  B  371 - B  468 - ,0,0.014,0.038,0.038,0.054,0.061
45, 1b8v,2, 1  A    3 - A  157 -  1  A  158 - A  329 - ,0,0.039,0.068,0.087,0.107,0.131
46, 1tw9,2, 2  A    1 - A   75 -  A  191 - A  206 -  1  A   76 - A  190 - ,0,0.025,0.076,0.087,0.141,0.16
47, 1tw9,2, 2  B    1 - B   75 -  B  191 - B  206 -  1  B   76 - B  190 - ,0,0.028,0.078,0.088,0.141,0.167
48, 1tw9,2, 2  C    1 - C   75 -  C  191 - C  206 -  1  C   76 - C  190 - ,0,0.025,0.076,0.091,0.137,0.133
49, 1tw9,2, 2  D    1 - D   75 -  D  191 - D  206 -  1  D   76 - D  190 - ,0,0.025,0.076,0.09,0.14,0.16
50, 1tw9,2, 2  E    1 - E   75 -  E  191 - E  206 -  1  E   76 - E  190 - ,0,0.025,0.077,0.088,0.14,0.155
51, 1tw9,2, 2  F    1 - F   75 -  F  191 - F  206 -  1  F   76 - F  190 - ,0,0.02,0.081,0.097,0.116,0.154
52, 1tw9,2, 2  G    1 - G   75 -  G  191 - G  206 -  1  G   76 - G  190 - ,0,0.026,0.078,0.088,0.137,0.156
53, 1tw9,2, 2  H    1 - H   75 -  H  191 - H  206 -  1  H   76 - H  190 - ,0,0.025,0.079,0.087,0.143,0.155
