1m70 , A , 2 , 81   , 38   43   , 14   40   27   , 24   14   24   19  
1wur , A , 2 , 95   , 72   23   , 7   55   33   , 26   7   30   32  
2ahr , C , 2 , 150   , 56   94   , 53   42   55   , 42   29   47   32  
1orb , A , 2 , 155   , 75   80   , 41   41   73   , 36   41   42   36  
3rk1 , B , 2 , 108   , 66   42   , 27   46   35   , 25   22   27   34  
3h47 , A , 2 , 76   , 21   55   , 19   34   23   , 13   19   28   16  
3ka2 , A , 2 , 96   , 47   49   , 29   39   28   , 13   32   24   27  
3bl4 , A , 2 , 52   , 22   30   , 12   25   15   , 15   11   12   14  
2hza , A , 2 , 54   , 41   13   , 20   13   21   , 12   15   13   14  
1qs2 , A , 2 , 205   , 99   106   , 83   65   57   , 51   34   68   52  
1sau , A , 2 , 56   , 29   27   , 23   13   20   , 15   14   15   12  
2hbw , A , 2 , 115   , 72   43   , 36   42   37   , 32   26   24   33  
2bw0 , A , 2 , 153   , 61   92   , 49   51   53   , 35   46   40   32  
2trc , P , 2 , 93   , 64   29   , 29   29   35   , 35   13   29   16  
1a79 , A , 2 , 95   , 38   57   , 32   40   23   , 18   27   17   33  
1ybi , A , 2 , 140   , 73   67   , 36   70   34   , 36   37   32   35  
3edp , A , 2 , 99   , 68   31   , 52   23   24   , 20   35   23   21  
3rf3 , B , 2 , 115   , 68   47   , 31   31   53   , 19   41   22   33  
1c0m , A , 2 , 118   , 31   87   , 29   32   57   , 27   25   38   28  
1ncf , A , 2 , 52   , 29   23   , 14   27   11   , 14   10   15   13  
2qj2 , A , 2 , 84   , 39   45   , 23   44   17   , 14   16   31   23  
2i5v , O , 2 , 95   , 53   42   , 30   33   32   , 27   16   23   29  
1fpo , A , 2 , 54   , 33   21   , 13   10   31   , 14   13   25   2  
1lbu , A , 2 , 99   , 60   39   , 28   39   32   , 26   22   24   27  
1gkg , A , 2 , 10   , 9   1   , 0   8   2   , 0   6   3   1  
1vfg , A , 2 , 164   , 92   72   , 50   49   65   , 30   38   50   46  
2r6i , A , 2 , 127   , 64   63   , 51   57   19   , 17   45   26   39  
1a6q , A , 2 , 191   , 107   84   , 59   64   68   , 40   71   24   56  
1tua , A , 2 , 84   , 46   38   , 15   30   39   , 15   30   15   24  
1hv9 , A , 2 , 215   , 86   129   , 47   121   47   , 47   58   42   68  
1p42 , A , 2 , 144   , 68   76   , 56   42   46   , 34   35   35   40  
2wxu , A , 2 , 201   , 69   132   , 74   66   61   , 68   32   66   35  
1rqu , A , 2 , 27   , 20   7   , 7   20   0   , 2   1   18   6  
2ra9 , A , 2 , 47   , 26   21   , 9   14   24   , 12   20   7   8  
1vl2 , D , 2 , 250   , 121   129   , 85   56   109   , 66   81   91   12  
1u4g , A , 2 , 165   , 82   83   , 53   73   39   , 39   53   36   37  
1xr4 , A , 2 , 310   , 178   132   , 14   142   154   , 100   114   84   12  
1b8f , A , 2 , 278   , 133   145   , 80   108   90   , 72   87   47   72  
1feu , A , 2 , 69   , 45   24   , 37   19   13   , 11   16   18   24  
3md2 , A , 2 , 71   , 41   30   , 27   24   20   , 23   14   17   17  
1jaj , A , 2 , 68   , 23   45   , 23   19   26   , 17   18   20   13  
1x9y , A , 2 , 195   , 95   100   , 45   67   83   , 61   48   43   43  
1ctu , A , 2 , 156   , 76   80   , 50   58   48   , 36   46   39   35  
1wlf , A , 2 , 78   , 40   38   , 35   18   25   , 21   22   16   19  
3bt3 , A , 2 , 62   , 36   26   , 26   23   13   , 18   16   14   14  
1g38 , A , 2 , 203   , 126   77   , 119   51   33   , 32   52   43   76  
1now , A , 2 , 281   , 136   145   , 102   66   113   , 70   60   80   71  
1ual , A , 2 , 96   , 75   21   , 21   35   40   , 15   35   6   40  
2arz , A , 2 , 121   , 76   45   , 33   42   46   , 29   28   37   27  
2qik , A , 2 , 141   , 85   56   , 45   54   42   , 35   44   40   22  
1kb0 , A , 2 , 422   , 249   173   , 153   179   90   , 72   111   126   113  
1po3 , A , 2 , 363   , 166   197   , 158   96   109   , 86   63   68   146  
2ibd , A , 2 , 95   , 53   42   , 25   37   33   , 34   21   18   22  
2r01 , A , 2 , 78   , 15   63   , 32   40   6   , 23   26   1   28  
2nnu , A , 2 , 81   , 33   48   , 34   22   25   , 21   25   18   17  
2fcw , B , 2 , 28   , 13   15   , 10   12   6   , 3   11   10   4  
1jhd , A , 2 , 217   , 106   111   , 82   64   71   , 52   46   55   64  
