396 , 0.036
120 , 0.022
271 , 0.024
349 , 0.016
317 , 0.044
419 , 0.021
534 , 0.028
310 , 0.025
393 , 0.022
386 , 0.034
285 , 0.010
152 , 0.008
337 , 0.018
241 , 0.008
317 , 0.041
174 , 0.029
242 , 0.026
274 , 0.021
128 , 0.018
167 , 0.024
235 , 0.027
131 , 0.024
126 , 0.008
222 , 0.013
173 , 0.009
290 , 0.009
352 , 0.043
335 , 0.038
122 , 0.045
270 , 0.017
215 , 0.022
115 , 0.016
187 , 0.020
327 , 0.029
227 , 0.009
326 , 0.015
540 , 0.015
171 , 0.010
111 , 0.005
312 , 0.043
104 , 0.043
257 , 0.033
246 , 0.018
541 , 0.049
176 , 0.035
346 , 0.040
214 , 0.054
388 , 0.034
283 , 0.044
370 , 0.035
369 , 0.039
156 , 0.024
487 , 0.018
532 , 0.029
329 , 0.012
240 , 0.023
198 , 0.056
113 , 0.006
220 , 0.013
363 , 0.031
341 , 0.032
145 , 0.000
296 , 0.040
501 , 0.032
530 , 0.033
365 , 0.030
178 , 0.020
253 , 0.020
297 , 0.057
133 , 0.011
211 , 0.027
258 , 0.022
158 , 0.012
149 , 0.013
286 , 0.039
196 , 0.021
273 , 0.067
221 , 0.057
411 , 0.009
452 , 0.017
224 , 0.039
369 , 0.053
181 , 0.019
85 , 0.021
229 , 0.003
176 , 0.005
344 , 0.029
225 , 0.008
332 , 0.019
499 , 0.030
135 , 0.051
215 , 0.008
307 , 0.065
193 , 0.006
211 , 0.028
171 , 0.028
327 , 0.029
397 , 0.025
174 , 0.011
223 , 0.011
56 , 0.016
161 , 0.035
382 , 0.045
439 , 0.017
215 , 0.003
307 , 0.014
