271 ,  0.051
191 ,  0.048
228 ,  0.045
54 ,  0.055
110 ,  0.066
127 ,  0.033
141 ,  0.004
158 ,  0.067
303 ,  0.024
59 ,  0.096
165 ,  0.051
59 ,  0.043
81 ,  0.061
104 ,  0.042
242 ,  0.066
42 ,  0.071
281 ,  0.070
85 ,  0.056
344 ,  0.036
204 ,  0.062
283 ,  0.034
123 ,  0.073
148 ,  0.080
103 ,  0.036
161 ,  0.048
48 ,  0.061
114 ,  0.060
284 ,  0.066
106 ,  0.085
149 ,  0.067
71 ,  0.047
125 ,  0.060
48 ,  0.081
162 ,  0.040
113 ,  0.055
349 ,  0.056
171 ,  0.068
111 ,  0.071
67 ,  0.028
181 ,  0.056
188 ,  0.041
95 ,  0.081
107 ,  0.044
66 ,  0.066
190 ,  0.067
73 ,  0.088
92 ,  0.066
56 ,  0.078
283 ,  0.037
174 ,  0.080
143 ,  0.062
185 ,  0.065
435 ,  0.043
76 ,  0.086
127 ,  0.067
180 ,  0.049
131 ,  0.042
76 ,  0.039
164 ,  0.045
119 ,  0.048
220 ,  0.077
205 ,  0.070
66 ,  0.058
111 ,  0.066
289 ,  0.037
85 ,  0.080
104 ,  0.040
327 ,  0.049
186 ,  0.062
514 ,  0.049
90 ,  0.078
189 ,  0.038
140 ,  0.045
154 ,  0.074
230 ,  0.066
235 ,  0.042
86 ,  0.007
149 ,  0.056
175 ,  0.078
75 ,  0.064
208 ,  0.045
213 ,  0.003
230 ,  0.013
331 ,  0.040
138 ,  0.059
544 ,  0.050
98 ,  0.055
66 ,  0.096
284 ,  0.042
69 ,  0.008
89 ,  0.090
171 ,  0.084
40 ,  0.109
134 ,  0.064
183 ,  0.063
62 ,  0.027
137 ,  0.044
122 ,  0.058
272 ,  0.059
47 ,  0.024
241 ,  0.050
126 ,  0.050
115 ,  0.055
66 ,  0.093
334 ,  0.030
40 ,  0.103
315 ,  0.049
50 ,  0.048
126 ,  0.071
18 ,  0.024
68 ,  0.082
95 ,  0.064
92 ,  0.096
108 ,  0.075
96 ,  0.104
62 ,  0.053
226 ,  0.012
522 ,  0.011
190 ,  0.044
424 ,  0.036
92 ,  0.033
217 ,  0.068
188 ,  0.039
85 ,  0.091
214 ,  0.042
97 ,  0.056
206 ,  0.027
61 ,  0.082
99 ,  0.068
55 ,  0.049
133 ,  0.079
47 ,  0.079
47 ,  0.068
78 ,  0.076
61 ,  0.012
61 ,  0.033
242 ,  0.065
137 ,  0.003
121 ,  0.070
172 ,  0.045
105 ,  0.075
63 ,  0.083
172 ,  0.051
378 ,  0.046
40 ,  0.066
219 ,  0.061
63 ,  0.029
224 ,  0.055
595 ,  0.029
217 ,  0.030
113 ,  0.065
123 ,  0.072
166 ,  0.035
146 ,  0.043
84 ,  0.050
156 ,  0.041
255 ,  0.039
275 ,  0.068
144 ,  0.046
131 ,  0.050
163 ,  0.057
212 ,  0.040
363 ,  0.055
179 ,  0.076
113 ,  0.073
405 ,  0.051
67 ,  0.052
260 ,  0.046
73 ,  0.040
111 ,  0.096
175 ,  0.021
178 ,  0.069
40 ,  0.102
78 ,  0.047
210 ,  0.056
129 ,  0.049
263 ,  0.045
130 ,  0.063
81 ,  0.065
160 ,  0.044
109 ,  0.066
184 ,  0.025
99 ,  0.081
139 ,  0.073
205 ,  0.042
172 ,  0.039
65 ,  0.102
223 ,  0.047
